Version;Benchmark;Mean;StdErr;N;StdDev;Min;Q1 ;Median;Q3;Max;IQR;LowerFence;UpperFence;ConfidenceInterval;Margin;Skewness;Kurtosis;Mvalue
NanoServer1709;SHA256;60.62710;0.32940;31.00000;1.34200;56.62250;59.02030;60.37080;62.32110;63.90240;3.30080;54.06910;67.27220;"59.4260;61.8283";1.20110;0.01000;2.18000;2.00000
NanoServer1709;MD5;25.55340;0.12960;19.00000;0.56480;24.42870;25.22250;25.61550;26.04340;26.56340;0.82090;23.99120;27.27480;"25.0452;26.0616";0.50820;-0.26000;2.18000;2.00000
NanoServer1809;SHA256;59.44990;0.31470;27.00000;1.63510;57.12890;58.20330;59.09020;60.65270;64.25130;2.44940;54.52930;64.32670;"58.2835;60.6163";1.66400;0.91000;3.57000;2.13000
NanoServer1809;MD5;27.37850;0.14760;18.00000;0.62620;26.40670;26.94120;27.35740;27.57930;28.76800;0.63810;25.98400;28.53640;"26.7933;27.9637";0.58520;0.72000;3.13000;2.00000
CoreServer1709;SHA256;59.42720;0.31050;22.00000;1.45630;56.91160;58.32030;59.19000;60.46480;63.43520;2.14450;55.10350;63.68160;"58.2414;60.6131";1.18590;0.69000;3.50000;2.00000
CoreServer1709;MD5;25.22170;0.13490;26.00000;0.68790;24.50410;24.62320;25.10700;25.56550;27.35150;0.94220;23.20990;26.97880;"24.7192;25.7243";0.50250;1.19000;4.30000;2.00000
CoreServer1809;SHA256;58.47880;0.31310;26.00000;1.59670;54.04150;58.15740;58.50800;59.47340;61.36890;1.31600;56.18340;61.44740;"57.3123;59.6453";1.16650;-0.94000;4.16000;2.00000
CoreServer1809;MD5;27.44720;0.10500;14.00000;0.39380;26.86210;27.12700;27.48530;27.61870;28.30220;0.49160;26.38960;28.35610;"27.0030;27.8914";0.44420;0.38000;2.38000;2.00000
Windows1809;SHA256;82.80970;3.74300;100.00000;37.43020;52.65350;54.94940;57.25810;123.98220;155.57350;69.03280;-48.59990;227.53150;"70.1151;95.5042";12.69460;0.77000;1.77000;2.65000
Windows1809;MD5;25.65400;0.08190;14.00000;0.30640;25.09120;25.52490;25.64780;25.85360;26.18670;0.32870;25.03180;26.34660;"25.3083;25.9997";0.34570;-0.11000;2.22000;2.00000
